userName,content,at,score
Made Murni,bNyak promo gratis ongkir dan cash back .,2023-06-10 10:12:31,5
Pei Gejora,terbaik,2023-06-10 10:09:54,5
Hitler Naibaho,By z,2023-06-10 10:07:18,4
Arifin Samsul,top,2023-06-10 10:04:57,5
Agung prasetyo Agungprasetyo,mntap,2023-06-10 10:03:49,5
Izzatun Hassanah,bagus,2023-06-10 10:02:04,5
inko aprianto,"Mantap! Sering di pandang sebelah mata ternyata lebih wah diskon nya dibanding si S Edit : Lazada merugikan saya, terutama lazpaylater, kronologinya begini, saya batalkan pesanan setelah bayar pakai lazpaylater karena ada flash sale yg lebih murah, trus pas sudah cek out, mau bayar lagi pakai lazpaylater, tiba2 lazpaylater saya ditangguhkan, ceritanya ngambek dia, tau gitu saya beli gak pakai lazpaylater, kadung di bayar di muka lazpaylater saya juga, malah ujung2nya di tangguhkan, kecewa berat",2023-06-10 10:01:15,1
Dewi Makhfiyatun,belanja di Lazada emang asyikk,2023-06-10 10:00:05,4
Lutfi CH 2,Bangasat,2023-06-10 09:59:05,1
Boy Mulyono82,Lamah,2023-06-10 09:58:01,1
Zira Darsih,mantap,2023-06-10 09:56:44,5
Muhammad Gibran,barang bagus2,2023-06-10 09:55:41,5
Gun Gunawan,Ini kenapa lazada Waktu saya instal aplikasi lagi ko.cuman bisa buka doang tapi ga bisa pesan barang katanya bisa cod,2023-06-10 09:54:59,3
Tri Lestari,Very good,2023-06-10 09:51:02,4
indra karo karo,cukup memuaskan,2023-06-10 09:48:12,5
muafah lia,barang cepat dan bagus2 ples murah2,2023-06-10 09:45:12,5
Fitri Handayani,good,2023-06-10 09:43:22,5
doni kurniansyah,"Selernya nakal nakal, bikin orderan fiktif buat rating toko selernya, merugikan",2023-06-10 09:40:43,1
anggun kulut hidayah prastika,"Kecewa sama lazada,masa pengguna baru ga dapet gratis ongkir, kalo apl lain kan dapet tapi ini nggak ,pdhal sya baru pertama kali download lazada",2023-06-10 09:40:12,1
septinus Mahuze,terima kasih atas program lazada,2023-06-10 09:37:53,5
Ricky Fahlevi,sangat bagus,2023-06-10 09:37:21,4
Kudet Tech,Skarang ko jadi slalu ada notifikasi yg slalu muncul di atas layar. Padahal udah di matiin dari pengaturan nya Agak sdikit ke ganggu aja. Jadi kurang nyaman . Bintang 4 dulu . Klo udah bener saya naikan kagi bintang 5,2023-06-10 09:36:45,4
Jirul Mufid,ok,2023-06-10 09:34:52,5
Mualimin 2,mantab,2023-06-10 09:34:03,5
Bayu Sukma,ok sangat mantull,2023-06-10 09:33:27,5
Jihan N,keren,2023-06-10 09:32:16,5
Samsung J400,Oke,2023-06-10 09:31:59,4
Ia Mulyati,bagus,2023-06-10 09:31:41,5
Yayat Putra,murah bangett,2023-06-10 09:30:36,4
Yurdanis Yurdanis,Baik,2023-06-10 09:29:03,5
Fery Moch,Ok,2023-06-10 09:28:39,5
Jamal Ludin,makasih lazada karna sudah memberikan kemudahan berbelanja buat saya yang mager bwt pergi2..,2023-06-10 09:27:29,5
Dadang Hidayat,Sangat bagus,2023-06-10 09:22:00,5
Salsa Bila,puas bngt blnja d sini 👍🏻,2023-06-10 09:20:48,5
Ilyas Ramadhan,Sangat bgs...,2023-06-10 09:19:16,5
Yudi Anto,kadang kurir nya menjengkelkan.tanya alamat melulu walau udah di serloks,2023-06-10 09:18:32,3
Tomi Yazid,suka dg bonusnya,2023-06-10 09:13:02,5
Sp Empat,semoga berkah,2023-06-10 09:04:54,5
Dewi Margaretha,"Dh lama jd pelanggan setia lazada, tp sekarang kecewa dngn pelayanannya, krn skrng gratis ongkirnya tdk seperti dulu, minimal harga 150,00,baru dpt gratis ongkir, jd males skrng belanja di lazada☹️☹️",2023-06-10 09:04:48,2
Doni olan L raja,saya kasi 5...mudah mudahan pesanan saya tudak dibatalkan,2023-06-10 08:59:12,5
Widia Anwar,yes lah,2023-06-10 08:58:38,5
Gotrek Romadhon,masih mnunggu pesanan semoga sesuai,2023-06-10 08:57:41,5
Rezi,Bagus sekali ini aplikasi,2023-06-10 08:56:56,5
Vinutria,"Mantap banget diskonannyaaaaa, suka banget ama lazada",2023-06-10 08:56:19,5
Asep Kurnia,syuo,2023-06-10 08:55:18,1
Makinut Mahalini,"mudah,murah GK pk ribet tinggal tunggu dirmh",2023-06-10 08:54:15,5
Muhamad Abdur Rohman,apk yang sangat membantu,2023-06-10 08:53:44,5
FAYYADH ABDILLAH AZZAM,amanah dan utamakan kwalitas,2023-06-10 08:52:29,5
Samsul Arif,suka banget sama lazada,2023-06-10 08:51:36,5
Saipul Oleng,bagus,2023-06-10 08:50:43,5
Naqi Alrayyan,bl,2023-06-10 08:50:33,3
Magfiroh Iroh,sangat suka sesuai pesanan,2023-06-10 08:50:07,5
Fransisca Rumiris,"Dibanding shopee yg harga ongkirnya bkin kesal. Semoga bsa menaikkan mutu, kualitas n pelayanan lazada kedepannya. Biar setia.",2023-06-10 08:48:15,5
Rudi Hermawan,mantap,2023-06-10 08:46:45,5
Tedi Sonjaya,"Barang di kirim kok jam 9.30 malam... Ya udah pada tidur lah,. Soalnya tempat kerja saya kalau udah lewat jam 9 malam ya tempat kerja udah di tutup rapat, pintu di gembok, udah pada pulang. Mana paket di kirimnya jadi nunggu 3 hari lagi.. Baru kali ini di kirim paket malem², Hadeuh.. Jam kerja operasional pengiriman di perbaiki lagi, kalau udah jam 9 malam mending pulang aja dan di kirim besok... Ini malah jadi di kirim 3 hari kedepan...",2023-06-10 08:44:33,1
Garing Bae,gratis ongkirnya,2023-06-10 08:43:08,5
Rizki Miauu,Overall Bagusss!!!suka bgt,2023-06-10 08:42:46,5
Dani Setiawan,Lazada sok asik,2023-06-10 08:42:03,1
Agus Ghopal,Bagus dan sangat suka sekali,2023-06-10 08:40:36,5
Izzan Abizar,Saya kasih 1 dulu.,2023-06-10 08:38:38,1
Rapina,"sangat membantu, gak perlu keluar rumah pesanan langsung diantar kerumah",2023-06-10 08:36:24,5
Heri Wiyanto,mantap,2023-06-10 08:33:51,5
Rendy Bagus,"ada payleter, di bekukan selama 1 bulan gara"" pindah akun ke hp 1 lagi, giliran udah nunggu lama, pas mau belanja balah di bekukan lagi nunggu sebulan lagi, padahal dari pihak lazadanya yg lama kirim kode verifikasi. sekali'a kode masuk malah akun payleter ga bisa di pake. harus nunggu lagi 1 bulan. PAYAH LAH bikin emosi padahal payleter ga pernah ada tunggakan selalu di bayar tepat waktu.",2023-06-10 08:31:44,1
Ima Nirmala,👍,2023-06-10 08:29:51,5
Said Setiawan,. Ryjgtt GB BB itu i UK ujty guess,2023-06-10 08:28:35,3
Putri Kusuma,"Aplikasi, ini kayaa aww ngentolld",2023-06-10 08:27:32,5
Wardi Baee,bagus,2023-06-10 08:26:59,5
Bang Ronny,semua jadi muda karena lazada,2023-06-10 08:25:22,5
Bagus Saputra,terimakasih saya naman sekali pake lazada,2023-06-10 08:20:42,5
Teddy Harry,)cdo,2023-06-10 08:19:42,3
Dewi Kumalasari,mantap,2023-06-10 08:19:23,3
Fiky Pranoto Channel,"mengalami gangguan CekOut padahal baru make, dan voucher error apaaan mndingan ijo",2023-06-10 08:12:34,1
Linda Kristinawati,banyak potongan harga Dan gratis ongkirnya,2023-06-10 08:09:17,5
Siti Nurjanah,ok,2023-06-10 08:06:56,5
Jimi Wan,Lazada tlong bagian logistik di tertibkan.sudah di batalkan pembeli kok di tolak...akibatnya fatal..ygdi kirim merk lain.dan harga tdk sesuai,2023-06-10 08:06:48,5
Lana Wele,sangat baik,2023-06-10 08:05:53,5
Tasya Girl,lup deh,2023-06-10 08:04:35,5
Oseng Rembo,membantu sekali,2023-06-10 08:04:11,5
Anggi Susanto,terimakasih,2023-06-10 08:03:30,5
David Beckham,mantaabb,2023-06-10 08:03:03,4
Rizma maulidatun Nafiesa,Belanja di lazada murah meriah,2023-06-10 08:02:17,5
Fawaid Fawaid,bagus,2023-06-10 08:02:13,4
Zulfikar Al_hufadz,Setiap buka link di browser iklan lazada ini sangat sangat mengganggu sekali !! HAPUS LAZADA,2023-06-10 07:59:40,1
Warji Zae,ongkir gratis,2023-06-10 07:59:28,5
Danang Pras,suka berbelanja di lazada barang2 ya sangat bagus n pelayanan ya sangat memuaskan ☺️,2023-06-10 07:58:02,5
Anggi Rumbaru,sangat memuaskan,2023-06-10 07:57:00,5
Omi Hermawan,Kapok Beli barang di lazada pakai transfer atau bayar di Alfa dan sejenis nya.. Kalau pembelian gagal uang jadi ngegantung di aplikasi di ambil ke rekening harus nunggu lama 1-5 hari.. Harusnya langsung di balikin otomatis duit org jgn di tahan..,2023-06-10 07:53:18,2
Paputungan Nindi,Kerja bagus Aku butuh medkit Tolong aku,2023-06-10 07:51:35,5
Yudi Gundil,luaaarrrrr biasssaaaaaa....,2023-06-10 07:51:09,5
Nurma Maharani,Lazada saya tidak muncul paylaternya ini gimana ya?udah saya coba tutorial di youtube gk berhasil... Sudah chat cs pun gk berhasil...,2023-06-10 07:50:06,1
Cepi Gaming,lumayan bagus,2023-06-10 07:49:19,4
Selvin Gustryani Gulo,aplikasi terbaik 😊,2023-06-10 07:44:27,2
TEBBY APRILIYAN,apk nya bagus,2023-06-10 07:42:06,5
Aji Al hasan,👍,2023-06-10 07:39:24,3
Din AbdlQdrZylani,"Lama2 gedeg juga ya, lebih mirip aplikasi spam.. klo buka web isi iklannya lazada, aplikasi iklannya lazada, ga ada ujan ga ada angin tiba2 aplikasi lazada kebuka sndiri kyk maksa bgt buat belanja di lazada.. hadehhh... mnding di uninstal aja",2023-06-10 07:39:05,1
sam suji,ga rugi beli di lazada,2023-06-10 07:37:41,5
Muliadiselian agara,sangat membantu,2023-06-10 07:37:22,4
Khamim dilla,saya suka,2023-06-10 07:32:30,4
Rika,👍,2023-06-10 07:32:02,5
Isman Bewok,aduh gagal mesen saya kapok lah,2023-06-10 07:31:55,1
Tuti Asih,top,2023-06-10 07:31:08,4
Simon Andil karim,lazada ok,2023-06-10 07:30:03,5
enink warto,mntul👍,2023-06-10 07:29:00,5
Bunda Azka,selalu puas,2023-06-10 07:28:17,5
Ivander Christie,"🖕🖕🖕 malas sama lazada , 3tahun pake lazada kecewa, gak mau pake lazada lagi , giliran tukang kurir lama , bisa, giliran kita gak byar cod marah2 , jelas2 kurir nya yang lama antar sampai jam 10 malam, saya cuman mintah tolong bsok antar krna saya demam tinggi gak bisa jalan dan saya sendiri rumah tapi langsung saya gak bisa cod lagi krn maslah itu aja gak adil padahal saya sudah mintah maaf, dan saya mau beli udah gak bisa, 🖕🖕🖕🖕🖕",2023-06-10 07:27:25,1
Mas Kojex,bagus,2023-06-10 07:27:21,5
Henjelika Shifa,mantap,2023-06-10 07:26:46,5
Jamian Jamian,barang sapai dengan aman teri kasih pak kurir,2023-06-10 07:25:48,5
Roni saputra,"Aplikasi sampah penarikan dana cash malah ga balik balik udah chat cs, udah minta mutasi udah email segala tetep aja bukan masalah jumlah duitnya tapi kepercayaan nya",2023-06-10 07:23:56,1
Khoirun Nissa,"Kenapa ya mau CO ajah aplikasi error padahal jaringan udah stabil, mohon di perbaiki terimakasih 🙏",2023-06-10 07:23:22,2
Melany Fauziah,"SUKAK BANGET BELANJA DI LAZADA G NGELEG "" JUGA APLIKASINYAA",2023-06-10 07:22:07,5
Jami,mantapp,2023-06-10 07:21:00,5
Ryan Valontjr,"geleng kepala,nyaksiin opini para pembeli yg kecewa sungguh mnyiksa.trmasuk aku.online Lazada untung2an dpt yg sesuai pesanan Alhamdulillah. yg tdk sesuai anggap sedekah buat para penipu.pastu jawabannya ""kami munta maaf kli brg yg diterima asal2an.preeett..enyah kau jgn menipu di Negara indonesia.",2023-06-10 07:20:06,1
Agrey Riyanwilujeng,suka pakai lazada.. sering2 kasih promo ongkir ya lazada.. semoga jaya dan sukses selalu..,2023-06-10 07:18:18,5
yasin wisnu,P Mabar epep,2023-06-10 07:15:36,1
fuad arief (arieffian),Gratis ongkirnya udah kagak ada wkwkwk bangkrut kayaknya,2023-06-10 07:15:03,1
Dini Aprilyani,terima kasih barang realpick seneng belanja di lazada dapat gratis ongkir murah meriah bagus berkualitas,2023-06-10 07:14:56,5
alviani 1704,baik,2023-06-10 07:10:21,4
Viana Cemplon,sangat bgus,2023-06-10 07:08:46,5
Kiki Mulana,coba dulu..,2023-06-10 07:05:05,5
Iride_ Akkiෆෆ,"Iklan bisnis apk anda menganggu saya, terimakasih sekian",2023-06-10 07:04:29,1
Natalin Sinaga,👍🫰,2023-06-10 07:02:16,5
Rusmin Aja,"lazada tidak berpihak pd pembeli pdhal sdh serius mw beli,tidak mempunyai seller yg mumpuni,cuma jual FOTO doank,huhhh...K E C E W A",2023-06-10 07:01:29,1
Riko arvandra,Lazada tambah burik gak bisa bayar di tempat uuuuuu,2023-06-10 07:01:08,1
bagler one,二安好昂偶爾，7（+6！（） ㄠㄢㄘˇ凹了？/+ 。😕,2023-06-10 06:58:28,3
Charli Lie,Oke mantap lah,2023-06-10 06:57:47,5
Palentino rosi,Tolong iklan nya jgn kebayakan pusing jadi nya gw ok masa tiap nonton pidio yutub iklan lajada terus tolong di kari iklan yah yah,2023-06-10 06:56:04,1
Athaya Mufidah,"bisa cod, pengirima selalu tepat waktu",2023-06-10 06:52:59,4
roza linda,lazada ok bgt..,2023-06-10 06:52:31,5
jhoksan,lazada semakin kesini semakin buruk mau chekout barang aja susah banget padahal udah sering belanja masih kena erorr di aplikasi nya gak tau masalah nya kenapa setiap mau pesan barang gagal mulu.jadi males pake lazada sekarang mending aku hapus karena percuma di instal juga gak bisa buat belanja.,2023-06-10 06:48:34,1
Jumariyah Jum,Mntap,2023-06-10 06:47:15,5
Sandy Sadewo,Lemot nggak kayak dulu,2023-06-10 06:46:33,2
Agus Sriyanto,mantap,2023-06-10 06:45:57,5
Mah Mudin,ok,2023-06-10 06:43:53,5
Kus Yanto,cepat,2023-06-10 06:41:32,5
Bayu Bayu,bagus,2023-06-10 06:41:16,5
Donita Arzila,perfectttt,2023-06-10 06:40:13,5
Im Manuel,Aplikasi nya gak bisa COD dasar aplikasi jelek,2023-06-10 06:38:44,1
Zayiroh Zyh,top,2023-06-10 06:34:39,5
Andi Maulana,"Assalamu'alaikum,makasii lazada banyak barang"" yang murah tapi ini yah untuk pover tolong dong jangan di maksimal harga😭",2023-06-10 06:32:08,5
Lies Anjani,tokonya amanah....sudah langganan,2023-06-10 06:30:23,5
Back Cry,👍👍👍👍👍💯%,2023-06-10 06:29:42,4
Pusri Yadi,keren,2023-06-10 06:28:42,5
Surya Apriana,sangat rekom buat apk belanja online,2023-06-10 06:24:19,5
Fitriani Fitriani,REKOMENDED banged banyak vocher menarik & gratis ongkir suka banged pake apl LAZADA,2023-06-10 06:23:23,5
Hanifa,biar bintang yg bicara,2023-06-10 06:20:35,3
Firas Faeyza,suka,2023-06-10 06:18:43,5
As Jo,bintang 3 dulu ya soalnya banyak yg di kecewain,2023-06-10 06:17:41,3
Aril Alif,keren,2023-06-10 06:17:19,5
Dyah Ayu,bagus,2023-06-10 06:16:34,5
nur safaah,lazada mantap,2023-06-10 06:15:27,5
Padang Sumbar,"Tolong lebih bijak lagi untuk memilih reseller join bisnis anda, saya pesan barang, barang yang dikirim barang karatan",2023-06-10 06:14:40,1
shuf Shafutra,baguss,2023-06-10 06:12:25,5
Pepep Pahrudin,Jelek,2023-06-10 06:12:21,1
Any Fitriani,sat set sat set tanpa ribet..,2023-06-10 06:11:15,5
Cucum Sumiati,sangat puas,2023-06-10 06:10:45,5
Muhammad Sultan,mantul,2023-06-10 06:09:54,5
Rejaibrahim,sangat puasa belanja di lazadah,2023-06-10 06:08:02,5
Arrun Almizan,Ngga bisa Cek out / buat pesanan selalu error,2023-06-10 06:07:25,2
Faisal Muchendra,Pengirimannya sangat tidak bagus👎,2023-06-10 06:05:39,1
Iwan Ms,ok mntp,2023-06-10 06:05:29,5
April Yoga,saya suka banget belanja di Lazada karena kualitas nya sangat bagus.Lazada mantap,2023-06-10 06:05:18,5
Joko Sugiyanto Saputra GMC,Ok,2023-06-10 06:04:29,5
henky hantoro,lumayan membantu,2023-06-10 06:00:34,3
Dodi Dodi,biar bintang yg bicara,2023-06-10 05:59:04,5
Cahyati Imas,top kaa,2023-06-10 05:54:48,5
REJEKINTA SINULINGGA,langganan puas di lazada,2023-06-10 05:53:55,5
Melissa Anggun,lazada oke bngt.,2023-06-10 05:50:44,5
Arik Ariadi,ya ampun ... belanja puas.. uang bulanan gak nguras...,2023-06-10 05:50:03,5
lehha anipah zolas,bagus,2023-06-10 05:49:58,3
sonny joz,"Sy tanya pda lazada. Sy di kasi gratisan saldo pazpaylater Rp50rb saldo paszpaylater udh unk belanja di lazada senilai Rp45rb sekian. Tiba tiba ada tagihan hrs membayar Rp129,019, sy bingung tagihan apa itu sedangkan sy belanja di lajada bayar pake pazpaylater ko ada tagihan bahkan tagihan tidak masuk akal, belanja hanya Rp45rb tagihannya Rp129rb. Yg sy tanyakan apakah pazpaylater itu ngasi utangan apa ngasih gratis Rp50rb. Sedangan pazpaylater ada perintah kesempatan anda mendapat gratis saldo",2023-06-10 05:49:36,1
Sahat Monang,Sangat oenting,2023-06-10 05:49:36,1
Ramona Leung,🥳,2023-06-10 05:49:03,5
Abeng Aja,bagusss cukup memuaskan..harga bersaing,2023-06-10 05:48:34,5
Liana Nandita,baguss,2023-06-10 05:46:29,3
Rangga Aditiya,krren,2023-06-10 05:46:28,5
Fhikar Allatif,Hasil lama banget sih udah tunggu 2 hari belum matang ambil akun shopee shopee cepat 1 hari doang Lazada Lazada jelek,2023-06-10 05:45:45,1
Alky Op,good,2023-06-10 05:45:12,5
muhammad syuib,sangat puaaasss,2023-06-10 05:43:20,5
Juna Rio,baik,2023-06-10 05:41:58,4
Uus Usman,suka bangetttt,2023-06-10 05:39:18,5
PLANET BUMI,Aplikasi ini sangat bagus sekali thx lazada..,2023-06-10 05:37:54,5
Lukman Lukman,"sejauh ini aku acungi jempol untuk pelayanan lazada ,, pertahankan kepuasan konsumen",2023-06-10 05:37:53,5
Sennah Azkaa,bagus diskonya,2023-06-10 05:37:36,5
Nandie Irawan,Ajip👌,2023-06-10 05:35:11,5
Rohmatul Nazilah,𝙗𝙖𝙜𝙪𝙨 𝙗𝙖𝙣𝙜𝙚𝙩 𝙨𝙞𝙞𝙞𝙞𝙞𝙞,2023-06-10 05:34:21,5
Adit gemer ep ep,ok,2023-06-10 05:32:26,3
Prima Kuswardana,Habis di updt lemot 10/06/2023,2023-06-10 05:30:22,1
Ajo 123,baik oke,2023-06-10 05:29:41,5
Rakashakila Shakila,JOSSSSS,2023-06-10 05:29:15,5
Galih Dwi,terimakasih Lazada banyak voucher gratis ongkirnya!,2023-06-10 05:28:06,5
Glen Saroinsong,ok,2023-06-10 05:27:06,5
Angger Andrianto,makin hari makin tmbah mahal aja nih ongkirnya,2023-06-10 05:27:01,4
Eva Eva,sudah bertahun2 belanja di lazada sungguh memuaskan,2023-06-10 05:25:38,5
Rosnalin Manderes,"Menurut saya pribadi lazada ini sangat bagus, hanya ad kendalanya, jrang bisa COD",2023-06-10 05:23:47,4
Ikah Purnama Sari,"Tolong dong ya pihak lazada,,pedagang yang tidak amanah d blokir aja. Jadi pada kapok blnja d sini cuma gara² 1 atau 2 toko yg tidak amanah..... Semua jdi ke bawa²... Udh dri dulu pke aplikasi ini ,,,tpi aga ke sini² toko nya pada ga amanah.",2023-06-10 05:19:19,2
ayi kosasih,lumaya,2023-06-10 05:16:52,1
Badarudin,makin bagus saja pelayanan nya.,2023-06-10 05:13:02,5
Ifan riadi,baik,2023-06-10 05:12:32,3
Cak Yanto,"Kenapa akun lazadaku suka tiba tiba keluar sendiri, pas di ketik nomor hp nya malah ganti akun baru.",2023-06-10 05:12:01,4
Arlan lanzi,"Jangan kebiasaan credits barang engga sampe 1 juta mau disamperin kerumah, buruk",2023-06-10 05:11:39,1
Waluyo Jaya,Anjayani,2023-06-10 05:10:10,5
onoyn htl,Pengiriman tepat waktu dan akurat untuk dilacak. Kurirnya ramah2 👍👍👍 pertahankan kepercayaan konsumen .,2023-06-10 05:05:31,5
Ismail bin Mail,Debes untuk Lazada...,2023-06-10 05:04:34,5
Asdar,Mm,2023-06-10 05:03:22,1
Kuncen Bola,mntap,2023-06-10 05:02:56,4
Sis Wanto,👍👍👍,2023-06-10 05:01:58,5
Safaruddin Grogot,ok,2023-06-10 04:58:10,3
Anzas Tanjung,sangat bagus,2023-06-10 04:56:08,5
Attaya bara Prabaswara,lazada paling murah banyak bonus dan cepat pengirimannya,2023-06-10 04:55:49,5
Rahma N,ok,2023-06-10 04:55:31,5
Anisa Lise,ok,2023-06-10 04:55:12,5
Siti Yulianti,memuaskan,2023-06-10 04:55:02,5
Ayang Ponsel,barang harus sesuai dengan yang di pesan,2023-06-10 04:53:42,5
Lisa Lisa,baik,2023-06-10 04:53:12,5
Nasikin Ikin,keren,2023-06-10 04:52:32,5
Nardioficial 1,senang,2023-06-10 04:49:11,5
Dicky Dmc,bagus cepat,2023-06-10 04:49:08,5
Rifki Channel,Jangan iklan,2023-06-10 04:48:34,1
Ranni Nani14,Nyesel pernah beli di lazada harga mhal tp kualitas tidak sesuai 🥲,2023-06-10 04:47:17,1
Eki Bayu,best,2023-06-10 04:46:37,5
Lhutfiputra Pandawa,Aplikasinya lumayan sich,2023-06-10 04:45:31,4
Melvino_ Jayden_winoto,puas,2023-06-10 04:42:41,5
Kang Pri,bisa ada pinjaman tidak di Lazada,2023-06-10 04:42:36,4
Arip Gulok,Tolong bantu saya kenapa tidak bisa memesan lagi tolong batu saya🙏,2023-06-10 04:41:37,3
Farhaz Abid,Bagus lah,2023-06-10 04:40:48,4
ijep putra bin abdul muin,Saya pelanggan setia Lazada dari tahun 2019 Masih Waktu Kuliah lagi..Sampai Skrng Sudah Punya Anak 2..Tapi malah bukan dapat penghargaan..malah mau coba playlatter nya..kok malah di bekukan..kecewa..skrng saya udh beralih ke shop....si orange...karena kecewa sama ini aplikasi..lama kelamaan..klu aplikasi ini tidak bisa mendeteksi dan memberi penghargaan kepada pelanggan2 yg sudah setia sama Lazada..alamat di tinggal sama pelanggan setia..dan beralih ke si orange..,2023-06-10 04:39:35,1
Marta,mantap,2023-06-10 04:36:10,5
LANA Rdan,sayh suka banget,2023-06-10 04:34:08,5
Yui ko,bagus,2023-06-10 04:34:04,5
DIAN,Kenapa ya gak bisa milih jasa pengiriman tolong dong dikasih pilihan untuk bisa pilih jasa kirim,2023-06-10 04:33:10,2
Sarminih Minih,t op,2023-06-10 04:31:41,5
Buyut Lampe,Nyaman Berbisnis di LAZADA,2023-06-10 04:31:21,5
Agus Leng,moga para toko lebih baik lagi,2023-06-10 04:30:47,5
Anri Anri,🤩😄😄😄🥰😘😘,2023-06-10 04:30:42,5
Suhen Da,mantap,2023-06-10 04:29:47,5
Catur Kurniawan,Makin hari makin parah.estimasi yang udah ditentukan masih diundur lagi.lama-lama aku uninstal aja.,2023-06-10 04:28:38,5
Edo Maulana,oke cepat pengirimannya barang bagus,2023-06-10 04:26:48,5
Jahari Ari,Alhamdulillah belnja di LAZADA dri pertama sampe sekrng yg baru download yg lama kehapus lancar lancar aja trima kasi,2023-06-10 04:26:31,5
Daru Syarif,👍,2023-06-10 04:24:50,5
Dewi Nisa,makin kesini makin bagus aja apk ini jadi suka deh👍🏼,2023-06-10 04:22:38,5
Heru Sukma,sangat membantu kasih 4 dulu yah👍,2023-06-10 04:22:27,4
Zizan WHB,good,2023-06-10 04:19:43,5
Arsika Putri,Kok malah gini sih gk ada pilihan COD nya dulu ada pilihan COD sekarang mah gk ada?!! Jadi maless belanja lagi,2023-06-10 04:15:01,1
Udin Ikhwan,baik,2023-06-10 04:14:31,5
Ashfa Nurul,"Baru kali ini sih kecewa sama lazada, intinya aku mau batalin pemesanan barang, dan bayar pake transfer bca, oke pesanannya bisa dibatalin tapi dananya ga masuk rekening lagi,pihak lazada tolong! Kecewa klo kaya gini",2023-06-10 04:12:25,3
NOER Ali,sediakan metode pembayaran dgn gopay dan Linkaja utk mempermudah proses pembayaran pada saat saya melakukan pesanan,2023-06-10 04:12:19,5
Ariba Ae,"Lazada kalo bisa ada pemilihan ekspedisi dong,kalo random suka ada yang tidak sesuai",2023-06-10 04:10:52,4
Ratih Rahmayanti,mntap,2023-06-10 04:10:49,1
Putra Gunawan,BAGUS,2023-06-10 04:10:00,5
La ode Naskur,selalu amanah..moga kedepannya di pertahankan,2023-06-10 04:08:38,5
Mamah Putraa,Keren banget aplikasi nya,2023-06-10 04:04:06,5
BaimSena Vlog,Gobblok,2023-06-10 04:03:54,1
srirejeki jos,cepat dan lancar pengiriman,2023-06-10 04:03:27,5
Dwi Andik,josss,2023-06-10 04:03:21,5
Tembong Koh,mantuk,2023-06-10 04:02:28,5
Dave Martin,Lu bisa gak iklannya di kurangin yang ngedownload lu tuh udh banyak,2023-06-10 03:59:34,1
Salsa Bila,"Ko lazada ny mau cekaot GK bisa d buka ya,kenapa ya tolong dong,kasi solusi nya🙏🙏🙏",2023-06-10 03:58:25,4
H Odesis,"harga murah,layanan baik dan",2023-06-10 03:58:08,5
Fatin Pesek,wes ora pe kakean omong,2023-06-10 03:57:36,5
ghaisan ghasian,manyap,2023-06-10 03:56:47,5
Darman Ndruru,semoga barangnya sesui dengan pesanan saya saudara🙏🙏,2023-06-10 03:56:32,3
Nurfadilah Fadilah,Iklan nya mengganggu,2023-06-10 03:54:41,1
Jumaeri Prasetyo,amanah,2023-06-10 03:52:36,5
Wisnu Nu,Apk sampah,2023-06-10 03:47:43,1
VERI SETIAWAN,mantaps,2023-06-10 03:46:45,5
Muhammad Imam,Ok,2023-06-10 03:45:51,5
Cecep Syaripudin,good job,2023-06-10 03:43:57,5
Slamet Wahyudin,puas blnja di lazadaaa,2023-06-10 03:43:09,5
Yopi Firmansyah,wew,2023-06-10 03:41:52,5
PUTRI INDRIYANI,"baru coba pake lazada karena niat pindah dari toko sebelah yang udah mulai mahal ongkirnya ehh malah ternyata enak banget, ongkir murah paket cepet sampai lagi...best banget deh lazada pokoknya kayaknya mau yakin pindah kesini ajah😍",2023-06-10 03:41:31,5
Edo Okta nugroho,mntap,2023-06-10 03:40:43,5
Irwan Gunawan,cukup baik,2023-06-10 03:40:42,3
Dek Rado,Bagus banget tapi bokong ini aku enggak ndolot 😅😅😅😅😅😂😂😂😂😂,2023-06-10 03:40:31,5
EgaMhd Rev,Tingkatin lgi dong apk nya saldo cashback harusnya bisa kepake semua atau minimal selebihnya agar cepat terpakai saat belanja jangan dibates percuma dapat cashback banyak kalo pas mau dipake cuman minimal 10ribu 20ribu. Haddehhh,2023-06-10 03:40:20,2
aldi Sunardi,Terbaik,2023-06-10 03:40:17,5
Hasan Nganti,Jung cut ic4u9iv9 mvm5t m9pirf Iin,2023-06-10 03:39:52,3
kirei azzalea,"Kacau gabisa cancel pesanan, pdhl barang blm dikirim! Masalah ekpedisi juga tolong dong ada pilihannya! Mohon d perbanyak freeongkir nya klo msh random ekspedisinya!!",2023-06-10 03:35:40,3
Ernanto Santoso,mantap,2023-06-10 03:33:23,5
Sari Kumar,Keren,2023-06-10 03:31:56,5
Pengguna Google,ok deh blanja jdi lebih gampang,2023-06-10 03:31:54,4
Najwa Tenumbang,sangat puassss,2023-06-10 03:30:24,2
Siska Maharani,good,2023-06-10 03:30:04,5
Muslim Laia,👍👍👍,2023-06-10 03:27:51,5
rizal alamsyah,sip mantap,2023-06-10 03:27:10,5
Elvano Pratama,🛍️🤗,2023-06-10 03:26:32,5
Sunarta Sunarta,layangan ok,2023-06-10 03:19:57,5
Jaenal Aja,baik sekali,2023-06-10 03:19:34,5
Rian Saputra,mantap lazada maju terus,2023-06-10 03:18:38,1
Okta Hapsah oktarima,godddd,2023-06-10 03:14:26,5
